https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AXS,Volume USDT,tradecount
1643673600000,2022-02-01 00:00:00,AXS/USDT,52.38000000,54.96000000,51.84000000,53.41000000,911161.77000000,48514920.44490000,138518
1643587200000,2022-01-31 00:00:00,AXS/USDT,53.35000000,54.61000000,49.69000000,52.38000000,1467466.01000000,75695366.13600000,225617
1643500800000,2022-01-30 00:00:00,AXS/USDT,49.50000000,56.10000000,49.04000000,53.36000000,1844210.81000000,98102469.96000000,236768
1643414400000,2022-01-29 00:00:00,AXS/USDT,46.81000000,50.00000000,46.21000000,49.50000000,1809605.19000000,87400994.56170000,219107
1643328000000,2022-01-28 00:00:00,AXS/USDT,47.30000000,48.33000000,44.59000000,46.82000000,1237862.97000000,57235560.54590000,137018
1643241600000,2022-01-27 00:00:00,AXS/USDT,49.54000000,50.52000000,44.83000000,47.29000000,1301510.68000000,62585881.22410000,157141
1643155200000,2022-01-26 00:00:00,AXS/USDT,50.80000000,55.68000000,48.39000000,49.54000000,1043495.55000000,54489946.92600000,157036
1643068800000,2022-01-25 00:00:00,AXS/USDT,51.21000000,51.97000000,49.26000000,50.81000000,673594.71000000,34116566.81010000,110760
1642982400000,2022-01-24 00:00:00,AXS/USDT,54.76000000,54.79000000,44.42000000,51.20000000,1471501.87000000,72331583.58757000,215340
1642896000000,2022-01-23 00:00:00,AXS/USDT,50.17000000,54.82000000,49.64000000,54.72000000,725139.10000000,37721857.16770000,117197
1642809600000,2022-01-22 00:00:00,AXS/USDT,58.32000000,59.40000000,47.52000000,50.17000000,1607495.39000000,83945522.71501900,279274
1642723200000,2022-01-21 00:00:00,AXS/USDT,69.04000000,69.31000000,56.91000000,58.32000000,1077147.02000000,68698146.23350000,194731
1642636800000,2022-01-20 00:00:00,AXS/USDT,71.80000000,75.94000000,68.76000000,69.08000000,497336.97000000,36188933.52690000,108978
1642550400000,2022-01-19 00:00:00,AXS/USDT,73.81000000,74.16000000,70.53000000,71.81000000,440869.04000000,31859008.81320000,86841
