https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XLM,Volume USDT,tradecount
1640476800000,2021-12-26 00:00:00,XLM/USDT,0.28933,0.29408,0.28467,0.29142,263061726,76141366.91822,218564
1640390400000,2021-12-25 00:00:00,XLM/USDT,0.27791,0.29494,0.27509,0.28932,358919301,103521207.29916,300291
1640304000000,2021-12-24 00:00:00,XLM/USDT,0.28752,0.28848,0.27491,0.27792,300447306,84743761.15870,273143
1640217600000,2021-12-23 00:00:00,XLM/USDT,0.26738,0.28954,0.26435,0.28752,423568947,117332749.89694,353103
1640131200000,2021-12-22 00:00:00,XLM/USDT,0.26722,0.27709,0.26655,0.26737,386440982,105028518.44847,282004
1640044800000,2021-12-21 00:00:00,XLM/USDT,0.25740,0.26909,0.25224,0.26727,420714174,110518935.18486,297005
1639958400000,2021-12-20 00:00:00,XLM/USDT,0.25314,0.27357,0.25032,0.25745,769925751,201219548.98026,518537
1639872000000,2021-12-19 00:00:00,XLM/USDT,0.25525,0.26689,0.25123,0.25314,332002031,86132478.22918,257922
1639785600000,2021-12-18 00:00:00,XLM/USDT,0.25381,0.26605,0.25031,0.25523,314346948,81433472.96294,272393
1639699200000,2021-12-17 00:00:00,XLM/USDT,0.25548,0.26210,0.24528,0.25380,372880105,94816190.36227,326421
1639612800000,2021-12-16 00:00:00,XLM/USDT,0.27239,0.27409,0.25476,0.25541,321603988,85594834.73281,281724
1639526400000,2021-12-15 00:00:00,XLM/USDT,0.26698,0.27581,0.24579,0.27239,456778798,118685452.03511,408242
1639440000000,2021-12-14 00:00:00,XLM/USDT,0.25260,0.27076,0.24708,0.26701,606532203,157360252.12353,465314
1639353600000,2021-12-13 00:00:00,XLM/USDT,0.27552,0.27637,0.25085,0.25260,381725018,99167689.49873,324718
1639267200000,2021-12-12 00:00:00,XLM/USDT,0.27446,0.28141,0.26631,0.27555,231734341,63377051.87634,216836
1639180800000,2021-12-11 00:00:00,XLM/USDT,0.26021,0.27967,0.25560,0.27446,317022363,85853686.51417,272660
1639094400000,2021-12-10 00:00:00,XLM/USDT,0.27314,0.28044,0.25894,0.26025,445498285,121133861.70523,342901
1639008000000,2021-12-09 00:00:00,XLM/USDT,0.30603,0.30622,0.27288,0.27305,502902342,145394645.37615,446106
1638921600000,2021-12-08 00:00:00,XLM/USDT,0.28630,0.30835,0.28233,0.30604,588012504,174381764.17100,449481
1638835200000,2021-12-07 00:00:00,XLM/USDT,0.29388,0.29975,0.28100,0.28631,370046470,107430905.43146,349360
1638748800000,2021-12-06 00:00:00,XLM/USDT,0.27886,0.29651,0.24698,0.29387,854281287,230240677.44907,605295
1638662400000,2021-12-05 00:00:00,XLM/USDT,0.28893,0.29447,0.25700,0.27886,697086889,191378216.80801,500635
1638576000000,2021-12-04 00:00:00,XLM/USDT,0.32562,0.32611,0.21470,0.28889,1481987058,407305426.85506,1059465
1638489600000,2021-12-03 00:00:00,XLM/USDT,0.33994,0.36698,0.31956,0.32564,1016868156,353056126.15873,797957
1638403200000,2021-12-02 00:00:00,XLM/USDT,0.32773,0.34064,0.31731,0.33994,340826370,112061242.64022,360500
1638316800000,2021-12-01 00:00:00,XLM/USDT,0.33625,0.34555,0.32580,0.32773,300858799,101192476.22574,324284
1638230400000,2021-11-30 00:00:00,XLM/USDT,0.32846,0.35173,0.32789,0.33624,501933571,170188849.07949,483677
1638144000000,2021-11-29 00:00:00,XLM/USDT,0.32331,0.33400,0.32241,0.32846,282449010,92404738.55237,278295
1638057600000,2021-11-28 00:00:00,XLM/USDT,0.32573,0.32665,0.29943,0.32338,346448403,108424698.68908,346549
1637971200000,2021-11-27 00:00:00,XLM/USDT,0.32937,0.33498,0.32037,0.32579,289371114,94310949.99643,288445
1637884800000,2021-11-26 00:00:00,XLM/USDT,0.34192,0.35072,0.30604,0.32941,711616820,232240846.82427,578505
1637798400000,2021-11-25 00:00:00,XLM/USDT,0.32743,0.34817,0.32601,0.34192,283825715,96104684.25817,278536
1637712000000,2021-11-24 00:00:00,XLM/USDT,0.34124,0.34190,0.32094,0.32744,252172696,83509102.93605,268643
1637625600000,2021-11-23 00:00:00,XLM/USDT,0.33640,0.34275,0.32752,0.34124,308496784,103389471.68900,324551
1637539200000,2021-11-22 00:00:00,XLM/USDT,0.34371,0.35671,0.33145,0.33640,444648228,153483935.89420,448051
1637452800000,2021-11-21 00:00:00,XLM/USDT,0.34855,0.34907,0.33772,0.34361,174534017,59944500.72174,232787
1637366400000,2021-11-20 00:00:00,XLM/USDT,0.35403,0.35860,0.33700,0.34853,258669263,89803124.28941,298667
1637280000000,2021-11-19 00:00:00,XLM/USDT,0.32773,0.35659,0.32499,0.35406,376123486,129084188.64952,365641
1637193600000,2021-11-18 00:00:00,XLM/USDT,0.34632,0.35623,0.31199,0.32773,473350208,158106209.76655,485387
1637107200000,2021-11-17 00:00:00,XLM/USDT,0.34301,0.34947,0.33227,0.34635,345924107,117989438.94560,366427
1637020800000,2021-11-16 00:00:00,XLM/USDT,0.37733,0.37769,0.32100,0.34292,584635274,205674429.47008,537078
1636934400000,2021-11-15 00:00:00,XLM/USDT,0.37774,0.39400,0.37385,0.37733,412256213,158925510.79740,362081
1636848000000,2021-11-14 00:00:00,XLM/USDT,0.37836,0.38248,0.36700,0.37774,242224913,90511133.61041,277115
1636761600000,2021-11-13 00:00:00,XLM/USDT,0.37937,0.38278,0.37071,0.37836,276332846,104122953.48115,300736
1636675200000,2021-11-12 00:00:00,XLM/USDT,0.39131,0.39473,0.36423,0.37934,492916402,187005562.29962,442001
1636588800000,2021-11-11 00:00:00,XLM/USDT,0.38336,0.40335,0.37602,0.39131,612627777,238656960.61998,521128
1636502400000,2021-11-10 00:00:00,XLM/USDT,0.41345,0.44221,0.36048,0.38340,1354667497,552553638.23997,1060691
1636416000000,2021-11-09 00:00:00,XLM/USDT,0.37831,0.42337,0.37388,0.41344,774389880,305904459.57026,644921
1636329600000,2021-11-08 00:00:00,XLM/USDT,0.36400,0.37917,0.36280,0.37834,370700527,137855044.92062,325183
1636243200000,2021-11-07 00:00:00,XLM/USDT,0.35948,0.36630,0.35681,0.36399,225091272,81412004.33721,241059
1636156800000,2021-11-06 00:00:00,XLM/USDT,0.35918,0.36443,0.35002,0.35942,228099332,81448768.03298,249347
1636070400000,2021-11-05 00:00:00,XLM/USDT,0.36890,0.37395,0.35835,0.35918,249704236,91376314.50614,257160
1635984000000,2021-11-04 00:00:00,XLM/USDT,0.38554,0.39049,0.36512,0.36890,328959632,124166290.50226,342708
1635897600000,2021-11-03 00:00:00,XLM/USDT,0.38323,0.39923,0.37000,0.38555,599984236,230758757.95659,487978
1635811200000,2021-11-02 00:00:00,XLM/USDT,0.36616,0.38334,0.36333,0.38323,331801999,123866618.93333,318204
1635724800000,2021-11-01 00:00:00,XLM/USDT,0.37304,0.37612,0.35729,0.36615,350004980,128319483.34597,348222
1635638400000,2021-10-31 00:00:00,XLM/USDT,0.35886,0.39083,0.35728,0.37299,677601187,252358576.94872,551944
1635552000000,2021-10-30 00:00:00,XLM/USDT,0.36271,0.36615,0.35126,0.35879,316911786,114030060.82800,327007
1635465600000,2021-10-29 00:00:00,XLM/USDT,0.34284,0.36434,0.34074,0.36270,421341398,148613459.16898,342607
1635379200000,2021-10-28 00:00:00,XLM/USDT,0.33060,0.34914,0.32540,0.34282,521335830,177091263.55330,414008
1635292800000,2021-10-27 00:00:00,XLM/USDT,0.37339,0.37591,0.30611,0.33055,758442280,260484198.64226,584860
1635206400000,2021-10-26 00:00:00,XLM/USDT,0.38877,0.38901,0.36759,0.37339,418464982,159464815.19439,384802
1635120000000,2021-10-25 00:00:00,XLM/USDT,0.37259,0.38951,0.37118,0.38876,337548528,128311389.30936,323368
1635033600000,2021-10-24 00:00:00,XLM/USDT,0.37828,0.38726,0.36621,0.37260,396461607,149941716.48066,382232
1634947200000,2021-10-23 00:00:00,XLM/USDT,0.37253,0.37882,0.36840,0.37821,269251934,100769208.78654,288199
1634860800000,2021-10-22 00:00:00,XLM/USDT,0.37354,0.38106,0.36568,0.37258,358355503,134191435.76800,391476
1634774400000,2021-10-21 00:00:00,XLM/USDT,0.39228,0.39865,0.37100,0.37350,503356134,194232199.85517,531839
1634688000000,2021-10-20 00:00:00,XLM/USDT,0.37422,0.39284,0.36836,0.39214,488771423,186205448.30912,425985
1634601600000,2021-10-19 00:00:00,XLM/USDT,0.37970,0.38440,0.36533,0.37420,381176790,142799207.49343,414945
1634515200000,2021-10-18 00:00:00,XLM/USDT,0.38384,0.39656,0.37680,0.37969,722682174,279136720.55253,636981
1634428800000,2021-10-17 00:00:00,XLM/USDT,0.39716,0.40379,0.36368,0.38384,816643228,315169363.77256,603184
1634342400000,2021-10-16 00:00:00,XLM/USDT,0.36192,0.42157,0.36165,0.39715,1630308995,655192599.18039,1075139
1634256000000,2021-10-15 00:00:00,XLM/USDT,0.36962,0.37612,0.35067,0.36190,618136554,223970502.71551,484034
1634169600000,2021-10-14 00:00:00,XLM/USDT,0.36846,0.38295,0.36343,0.36966,674240590,251614645.14435,569298
1634083200000,2021-10-13 00:00:00,XLM/USDT,0.33297,0.37673,0.33060,0.36849,1067449283,382518772.25168,800593
1633996800000,2021-10-12 00:00:00,XLM/USDT,0.34461,0.34483,0.32000,0.33304,454745704,150610580.74978,401205
1633910400000,2021-10-11 00:00:00,XLM/USDT,0.33131,0.35763,0.32424,0.34457,483193761,167142989.61143,392292
1633824000000,2021-10-10 00:00:00,XLM/USDT,0.35356,0.35843,0.32837,0.33133,399732106,138632608.90748,353919
