https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XMR,Volume USDT,tradecount
1614178800000,2021-02-24 15:00:00,XMR/USDT,208.94,210.76,200.46,210.54,28409.463,5823551.08393,12930
1614175200000,2021-02-24 14:00:00,XMR/USDT,209.48,211.54,205.51,208.82,15656.560,3267736.22362,8659
1614171600000,2021-02-24 13:00:00,XMR/USDT,217.77,218.54,206.46,209.60,30338.125,6392137.63008,13356
1614168000000,2021-02-24 12:00:00,XMR/USDT,216.25,220.85,216.20,217.70,11582.756,2530549.40382,6771
1614164400000,2021-02-24 11:00:00,XMR/USDT,215.28,220.68,215.22,216.24,14424.695,3147827.22766,7268
1614160800000,2021-02-24 10:00:00,XMR/USDT,222.29,222.96,215.28,215.31,17064.921,3736045.89942,6603
1614157200000,2021-02-24 09:00:00,XMR/USDT,221.98,224.68,219.76,222.32,15161.948,3375750.42164,7173
1614153600000,2021-02-24 08:00:00,XMR/USDT,217.43,222.56,215.85,221.93,13940.024,3063592.41565,6858
1614150000000,2021-02-24 07:00:00,XMR/USDT,215.69,218.07,212.15,217.44,9857.828,2120269.58509,5537
1614146400000,2021-02-24 06:00:00,XMR/USDT,216.45,219.20,212.00,215.72,14014.318,3009097.57476,10305
1614142800000,2021-02-24 05:00:00,XMR/USDT,219.07,221.29,214.42,216.39,13945.557,3032368.15570,8376
1614139200000,2021-02-24 04:00:00,XMR/USDT,222.46,224.84,216.37,219.10,15231.010,3357538.07818,9571
1614135600000,2021-02-24 03:00:00,XMR/USDT,221.38,224.04,219.15,222.35,10780.826,2388281.22626,7198
1614132000000,2021-02-24 02:00:00,XMR/USDT,224.64,225.87,220.32,221.44,13272.382,2954235.20176,8938
1614128400000,2021-02-24 01:00:00,XMR/USDT,220.55,224.97,218.85,224.55,15980.661,3551640.54186,11768
1614124800000,2021-02-24 00:00:00,XMR/USDT,221.01,223.47,209.93,220.55,28130.279,6082611.94159,18496
1614121200000,2021-02-23 23:00:00,XMR/USDT,217.51,221.41,213.08,221.03,16013.459,3478940.29910,10626
1614117600000,2021-02-23 22:00:00,XMR/USDT,210.17,218.22,209.73,217.46,10511.785,2254258.67394,8674
1614114000000,2021-02-23 21:00:00,XMR/USDT,209.69,212.56,206.54,210.20,17718.114,3717447.02860,12737
1614110400000,2021-02-23 20:00:00,XMR/USDT,196.58,209.80,194.63,209.58,21507.800,4352345.59358,16151
1614106800000,2021-02-23 19:00:00,XMR/USDT,199.60,204.38,196.42,196.65,26331.145,5267100.25788,18515
1614103200000,2021-02-23 18:00:00,XMR/USDT,195.45,203.60,194.47,199.69,19377.631,3861252.87546,17345
1614099600000,2021-02-23 17:00:00,XMR/USDT,196.12,200.46,192.27,195.49,18678.341,3664634.00127,16644
1614096000000,2021-02-23 16:00:00,XMR/USDT,197.56,202.04,195.08,196.08,19730.105,3907345.49633,17419
1614092400000,2021-02-23 15:00:00,XMR/USDT,192.39,200.41,190.74,197.76,29393.899,5762739.43676,18776
1614088800000,2021-02-23 14:00:00,XMR/USDT,199.26,201.83,185.65,192.41,23470.854,4544920.71173,16216
1614085200000,2021-02-23 13:00:00,XMR/USDT,195.16,200.83,193.10,199.23,17770.102,3504563.28492,14901
1614081600000,2021-02-23 12:00:00,XMR/USDT,188.51,199.07,182.43,195.20,25659.286,4888029.25876,18874
1614078000000,2021-02-23 11:00:00,XMR/USDT,184.66,188.95,176.83,188.59,37933.639,6926241.68838,21939
1614074400000,2021-02-23 10:00:00,XMR/USDT,188.67,193.31,179.34,184.65,21290.237,3956249.37015,17850
1614070800000,2021-02-23 09:00:00,XMR/USDT,176.71,190.87,169.64,188.67,73535.729,13297697.70363,54973
1614067200000,2021-02-23 08:00:00,XMR/USDT,202.42,205.03,176.10,176.71,48210.531,9146384.90859,36285
1614063600000,2021-02-23 07:00:00,XMR/USDT,201.71,208.27,200.28,202.61,15249.332,3122902.86455,13659
1614060000000,2021-02-23 06:00:00,XMR/USDT,203.98,210.48,200.75,201.68,16013.475,3294201.86379,13896
1614056400000,2021-02-23 05:00:00,XMR/USDT,216.02,216.28,197.31,203.96,33778.741,6941932.84562,27205
1614052800000,2021-02-23 04:00:00,XMR/USDT,217.05,221.37,209.24,215.99,28660.884,6159469.61026,19047
1614049200000,2021-02-23 03:00:00,XMR/USDT,211.93,218.65,211.00,217.09,14106.745,3039111.36052,13672
1614045600000,2021-02-23 02:00:00,XMR/USDT,215.71,218.12,210.27,211.93,12987.644,2783090.56556,11468
1614042000000,2021-02-23 01:00:00,XMR/USDT,219.12,223.40,213.83,215.69,8728.620,1902610.46741,8919
1614038400000,2021-02-23 00:00:00,XMR/USDT,224.64,225.93,218.45,219.23,12071.081,2676901.39695,8726
1614034800000,2021-02-22 23:00:00,XMR/USDT,224.31,226.21,219.31,224.64,8724.594,1946747.59476,7474
1614031200000,2021-02-22 22:00:00,XMR/USDT,226.04,226.82,221.01,224.31,11508.152,2574085.13185,7426
