https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ONT,Volume USDT,tradecount
1644969600000,2022-02-16 00:00:00,ONT/USDT,0.58930000,0.59690000,0.56580000,0.59260000,13637624.00000000,7949072.57820000,50759
1644883200000,2022-02-15 00:00:00,ONT/USDT,0.53920000,0.59290000,0.53770000,0.58910000,14640168.00000000,8216239.62170000,44863
1644796800000,2022-02-14 00:00:00,ONT/USDT,0.55310000,0.55660000,0.52310000,0.53890000,16616638.00000000,8925938.91760000,50122
1644710400000,2022-02-13 00:00:00,ONT/USDT,0.54730000,0.59010000,0.53250000,0.55300000,29615146.00000000,16448354.35150000,88741
1644624000000,2022-02-12 00:00:00,ONT/USDT,0.53970000,0.55350000,0.51850000,0.54720000,11336231.00000000,6091577.56570000,37175
1644537600000,2022-02-11 00:00:00,ONT/USDT,0.58700000,0.59280000,0.52930000,0.53950000,16518875.00000000,9422533.90620000,49101
1644451200000,2022-02-10 00:00:00,ONT/USDT,0.58580000,0.63420000,0.57800000,0.58710000,32645867.00000000,19754143.39590000,107830
1644364800000,2022-02-09 00:00:00,ONT/USDT,0.59730000,0.60050000,0.58070000,0.58590000,15929663.00000000,9371736.23360000,43602
1644278400000,2022-02-08 00:00:00,ONT/USDT,0.58640000,0.61620000,0.54590000,0.59690000,22526181.00000000,12993158.18930000,68947
1644192000000,2022-02-07 00:00:00,ONT/USDT,0.57020000,0.59450000,0.55340000,0.58630000,16558660.00000000,9605112.07090000,51838
1644105600000,2022-02-06 00:00:00,ONT/USDT,0.55610000,0.57290000,0.54500000,0.56990000,12257258.00000000,6871566.00300000,34964
1644019200000,2022-02-05 00:00:00,ONT/USDT,0.56000000,0.58540000,0.54290000,0.55620000,20425721.00000000,11507877.07050000,58282
1643932800000,2022-02-04 00:00:00,ONT/USDT,0.49820000,0.58000000,0.49440000,0.55980000,52599388.00000000,29266411.50290000,135365
1643846400000,2022-02-03 00:00:00,ONT/USDT,0.48100000,0.49990000,0.46680000,0.49830000,10115035.00000000,4856240.09720000,27539
1643760000000,2022-02-02 00:00:00,ONT/USDT,0.49900000,0.51670000,0.47440000,0.48090000,13324672.00000000,6632764.95130000,42888
1643673600000,2022-02-01 00:00:00,ONT/USDT,0.48470000,0.50670000,0.48310000,0.49880000,9572189.00000000,4770296.92710000,30760
1643587200000,2022-01-31 00:00:00,ONT/USDT,0.47510000,0.48660000,0.45310000,0.48480000,8875673.00000000,4159895.18070000,25561
1643500800000,2022-01-30 00:00:00,ONT/USDT,0.48290000,0.50290000,0.46470000,0.47500000,10585252.00000000,5134439.87600000,31499
1643414400000,2022-01-29 00:00:00,ONT/USDT,0.47240000,0.48740000,0.47080000,0.48260000,7157091.00000000,3422968.89330000,20637
1643328000000,2022-01-28 00:00:00,ONT/USDT,0.46200000,0.47540000,0.45020000,0.47230000,10578796.00000000,4888358.42920000,27843
1643241600000,2022-01-27 00:00:00,ONT/USDT,0.45690000,0.46820000,0.43530000,0.46240000,14440942.00000000,6538367.48180000,33279
1643155200000,2022-01-26 00:00:00,ONT/USDT,0.45300000,0.49220000,0.44860000,0.45650000,15545410.00000000,7257116.32440000,44118
1643068800000,2022-01-25 00:00:00,ONT/USDT,0.44540000,0.45660000,0.43460000,0.45240000,12397864.00000000,5517458.59440000,32502
1642982400000,2022-01-24 00:00:00,ONT/USDT,0.47040000,0.47080000,0.40560000,0.44580000,21403704.38000000,9198613.37816800,53201
1642896000000,2022-01-23 00:00:00,ONT/USDT,0.45470000,0.47610000,0.44510000,0.47010000,15332663.00000000,7071668.21770000,40552
1642809600000,2022-01-22 00:00:00,ONT/USDT,0.49580000,0.51300000,0.41580000,0.45480000,45186447.73000000,21125566.40792100,100987
1642723200000,2022-01-21 00:00:00,ONT/USDT,0.56880000,0.57530000,0.48540000,0.49560000,28477000.03000000,15099440.08353800,73776
1642636800000,2022-01-20 00:00:00,ONT/USDT,0.59310000,0.62120000,0.56650000,0.56940000,10246652.00000000,6128273.43310000,34264
1642550400000,2022-01-19 00:00:00,ONT/USDT,0.61560000,0.61790000,0.58470000,0.59320000,8613479.00000000,5167287.81720000,27402
1642464000000,2022-01-18 00:00:00,ONT/USDT,0.62270000,0.62730000,0.60040000,0.61560000,7745985.00000000,4729399.25830000,26313
1642377600000,2022-01-17 00:00:00,ONT/USDT,0.65040000,0.65260000,0.61040000,0.62240000,6949016.00000000,4353522.87070000,27164
