https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LUNA,Volume USDT,tradecount
1652104800000,2022-05-09 14:00:00,LUNA/USDT,60.26000000,60.59000000,58.56000000,58.78000000,487779.09000000,28961207.78650000,39752
1652101200000,2022-05-09 13:00:00,LUNA/USDT,59.31000000,61.70000000,58.64000000,60.25000000,951123.58000000,57127033.57630000,68401
1652097600000,2022-05-09 12:00:00,LUNA/USDT,59.42000000,60.28000000,58.35000000,59.31000000,956295.84000000,56645768.05900000,57724
1652094000000,2022-05-09 11:00:00,LUNA/USDT,60.69000000,61.32000000,59.36000000,59.42000000,653889.77000000,39364254.18070000,51683
1652090400000,2022-05-09 10:00:00,LUNA/USDT,61.22000000,61.51000000,59.07000000,60.69000000,1010384.86000000,60829035.29950000,71464
1652086800000,2022-05-09 09:00:00,LUNA/USDT,61.95000000,62.18000000,60.98000000,61.23000000,267153.03000000,16433845.84860000,18844
1652083200000,2022-05-09 08:00:00,LUNA/USDT,60.85000000,62.00000000,60.02000000,61.94000000,451903.50000000,27559892.28580000,36537
1652079600000,2022-05-09 07:00:00,LUNA/USDT,61.87000000,62.58000000,60.00000000,60.85000000,505048.11000000,30961766.63920000,35374
1652076000000,2022-05-09 06:00:00,LUNA/USDT,61.56000000,62.24000000,60.67000000,61.87000000,383163.50000000,23541759.36490000,32944
1652072400000,2022-05-09 05:00:00,LUNA/USDT,62.81000000,63.29000000,61.42000000,61.55000000,371498.59000000,23176627.35000000,29683
1652068800000,2022-05-09 04:00:00,LUNA/USDT,61.18000000,63.97000000,61.18000000,62.80000000,478517.22000000,30170219.29770000,36029
1652065200000,2022-05-09 03:00:00,LUNA/USDT,60.79000000,61.98000000,60.42000000,61.16000000,466991.64000000,28634207.88940000,36480
1652061600000,2022-05-09 02:00:00,LUNA/USDT,62.60000000,62.69000000,60.00000000,60.80000000,724689.10000000,44253940.86430000,51604
1652058000000,2022-05-09 01:00:00,LUNA/USDT,64.35000000,64.56000000,62.52000000,62.60000000,231720.63000000,14699815.21770000,18573
1652054400000,2022-05-09 00:00:00,LUNA/USDT,64.27000000,65.29000000,63.42000000,64.35000000,410589.97000000,26428813.39050000,30117
1652050800000,2022-05-08 23:00:00,LUNA/USDT,64.90000000,64.98000000,63.42000000,64.26000000,255468.48000000,16366428.72540000,18039
1652047200000,2022-05-08 22:00:00,LUNA/USDT,66.81000000,66.90000000,64.72000000,64.91000000,333030.37000000,21781369.98700000,22392
1652043600000,2022-05-08 21:00:00,LUNA/USDT,65.74000000,66.82000000,65.74000000,66.81000000,245430.37000000,16292740.60280000,12768
1652040000000,2022-05-08 20:00:00,LUNA/USDT,66.38000000,66.62000000,65.34000000,65.73000000,480948.64000000,31631331.77570000,23525
