https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NEO,Volume USDT,tradecount
1652702400000,2022-05-16 12:00:00,NEO/USDT,10.185,10.355,10.083,10.265,86622.00,885725.65770,5416
1652698800000,2022-05-16 11:00:00,NEO/USDT,10.314,10.321,10.148,10.183,62960.44,643079.05828,3690
1652695200000,2022-05-16 10:00:00,NEO/USDT,10.117,10.323,9.986,10.309,84954.11,865555.09477,5224
1652691600000,2022-05-16 09:00:00,NEO/USDT,10.289,10.289,10.064,10.117,88292.05,897326.23325,4708
1652688000000,2022-05-16 08:00:00,NEO/USDT,10.099,10.344,10.068,10.291,149308.96,1530056.81069,7137
1652684400000,2022-05-16 07:00:00,NEO/USDT,9.998,10.142,9.855,10.100,128560.43,1288800.67831,6994
1652680800000,2022-05-16 06:00:00,NEO/USDT,10.448,10.450,9.914,9.998,180808.15,1828790.45407,9902
1652677200000,2022-05-16 05:00:00,NEO/USDT,10.525,10.613,10.433,10.450,42910.50,451446.25362,2829
1652673600000,2022-05-16 04:00:00,NEO/USDT,10.547,10.582,10.446,10.525,51879.21,545662.98477,3223
1652670000000,2022-05-16 03:00:00,NEO/USDT,10.588,10.659,10.443,10.545,70184.17,739129.95221,3836
1652666400000,2022-05-16 02:00:00,NEO/USDT,10.764,10.764,10.532,10.589,76208.90,807440.87952,4368
1652662800000,2022-05-16 01:00:00,NEO/USDT,10.716,10.820,10.657,10.759,105709.04,1136597.89062,5585
1652659200000,2022-05-16 00:00:00,NEO/USDT,11.020,11.020,10.676,10.720,110817.81,1196928.15500,6591
1652655600000,2022-05-15 23:00:00,NEO/USDT,10.869,11.045,10.852,11.021,41170.81,450820.46259,3012
1652652000000,2022-05-15 22:00:00,NEO/USDT,10.883,11.007,10.862,10.868,91255.88,998961.03206,5636
1652648400000,2022-05-15 21:00:00,NEO/USDT,10.817,10.888,10.723,10.881,47806.59,516174.94277,3387
1652644800000,2022-05-15 20:00:00,NEO/USDT,10.538,10.833,10.500,10.810,148006.79,1586304.63772,8069
1652641200000,2022-05-15 19:00:00,NEO/USDT,10.460,10.551,10.403,10.545,46807.79,490078.40302,3126
1652637600000,2022-05-15 18:00:00,NEO/USDT,10.397,10.511,10.342,10.463,114564.50,1192727.01672,5672
1652634000000,2022-05-15 17:00:00,NEO/USDT,10.645,10.716,10.387,10.397,188129.48,1992632.05005,5302
1652630400000,2022-05-15 16:00:00,NEO/USDT,10.509,10.702,10.447,10.646,130083.28,1378915.81173,4789
1652626800000,2022-05-15 15:00:00,NEO/USDT,10.552,10.671,10.414,10.510,60392.81,637215.98226,3504
1652623200000,2022-05-15 14:00:00,NEO/USDT,10.557,10.572,10.398,10.554,68925.85,722809.33688,4505
1652619600000,2022-05-15 13:00:00,NEO/USDT,10.719,10.723,10.523,10.561,41330.35,438555.97218,3117
1652616000000,2022-05-15 12:00:00,NEO/USDT,10.781,10.905,10.669,10.719,55171.72,595615.56184,4035
1652612400000,2022-05-15 11:00:00,NEO/USDT,10.655,10.820,10.559,10.781,55566.34,594733.07827,3940
1652608800000,2022-05-15 10:00:00,NEO/USDT,10.528,10.657,10.476,10.650,44416.25,468828.44683,2713
1652605200000,2022-05-15 09:00:00,NEO/USDT,10.396,10.573,10.372,10.527,38992.98,408269.37112,2391
1652601600000,2022-05-15 08:00:00,NEO/USDT,10.511,10.534,10.376,10.401,48329.77,504803.84230,3453
1652598000000,2022-05-15 07:00:00,NEO/USDT,10.606,10.687,10.479,10.515,35258.38,373233.83878,2496
1652594400000,2022-05-15 06:00:00,NEO/USDT,10.551,10.623,10.501,10.608,25491.58,269249.61331,2361
1652590800000,2022-05-15 05:00:00,NEO/USDT,10.339,10.587,10.278,10.548,33957.73,353880.88926,2432
1652587200000,2022-05-15 04:00:00,NEO/USDT,10.360,10.431,10.246,10.335,45960.24,476101.55626,2594
1652583600000,2022-05-15 03:00:00,NEO/USDT,10.396,10.412,10.219,10.359,42318.83,436185.82958,3168
1652580000000,2022-05-15 02:00:00,NEO/USDT,10.577,10.680,10.341,10.395,55727.67,583577.40378,3725
1652576400000,2022-05-15 01:00:00,NEO/USDT,10.629,10.652,10.511,10.578,30955.18,327375.55240,2589
1652572800000,2022-05-15 00:00:00,NEO/USDT,10.674,10.778,10.533,10.636,75211.11,802034.85871,4723
1652569200000,2022-05-14 23:00:00,NEO/USDT,10.606,10.727,10.499,10.674,53605.42,569058.37401,3884
1652565600000,2022-05-14 22:00:00,NEO/USDT,10.451,10.683,10.421,10.607,69229.59,728875.51969,4474
1652562000000,2022-05-14 21:00:00,NEO/USDT,10.220,10.509,10.185,10.453,60549.73,627856.13853,3435
1652558400000,2022-05-14 20:00:00,NEO/USDT,10.111,10.303,10.097,10.218,43124.60,440968.41238,3161
1652554800000,2022-05-14 19:00:00,NEO/USDT,10.235,10.299,10.078,10.114,46578.30,473926.09934,3373
1652551200000,2022-05-14 18:00:00,NEO/USDT,10.209,10.375,10.174,10.232,70124.01,720389.61351,4440
1652547600000,2022-05-14 17:00:00,NEO/USDT,10.104,10.246,10.059,10.208,72816.73,739393.68754,4719
1652544000000,2022-05-14 16:00:00,NEO/USDT,9.753,10.257,9.651,10.099,202070.59,1999742.90377,7964
1652540400000,2022-05-14 15:00:00,NEO/USDT,9.792,9.896,9.719,9.752,49572.76,485711.30646,2940
1652536800000,2022-05-14 14:00:00,NEO/USDT,9.711,9.797,9.592,9.792,63860.87,619338.86756,3895
1652533200000,2022-05-14 13:00:00,NEO/USDT,9.843,9.898,9.707,9.718,51332.68,502639.45303,3325
1652529600000,2022-05-14 12:00:00,NEO/USDT,9.858,9.935,9.715,9.838,45724.66,449845.13968,3203
1652526000000,2022-05-14 11:00:00,NEO/USDT,9.999,10.039,9.669,9.857,143052.44,1407756.31042,7593
1652522400000,2022-05-14 10:00:00,NEO/USDT,10.321,10.321,9.949,9.999,60333.87,611512.22988,4556
1652518800000,2022-05-14 09:00:00,NEO/USDT,10.431,10.513,10.274,10.323,43514.50,451808.50840,2907
1652515200000,2022-05-14 08:00:00,NEO/USDT,10.325,10.471,10.304,10.431,59894.60,620867.61541,3329
1652511600000,2022-05-14 07:00:00,NEO/USDT,10.353,10.416,10.298,10.320,33065.08,342124.30132,2020
