https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NEAR,Volume USDT,tradecount
1652850000000,2022-05-18 05:00:00,NEAR/USDT,6.49800000,6.56400000,6.48000000,6.51600000,369960.60000000,2415228.92580000,6642
1652846400000,2022-05-18 04:00:00,NEAR/USDT,6.46300000,6.53300000,6.44200000,6.49500000,369709.20000000,2398210.25520000,7815
1652842800000,2022-05-18 03:00:00,NEAR/USDT,6.65600000,6.65600000,6.44100000,6.46300000,615647.80000000,4024903.34730000,13219
1652839200000,2022-05-18 02:00:00,NEAR/USDT,6.58800000,6.67600000,6.56600000,6.65800000,245693.20000000,1629913.23930000,6588
1652835600000,2022-05-18 01:00:00,NEAR/USDT,6.67000000,6.68400000,6.56600000,6.58600000,614732.60000000,4080737.96330000,10219
1652832000000,2022-05-18 00:00:00,NEAR/USDT,6.67900000,6.78000000,6.66500000,6.67000000,497738.30000000,3346064.03240000,11634
1652828400000,2022-05-17 23:00:00,NEAR/USDT,6.59000000,6.71800000,6.58800000,6.67900000,524953.30000000,3500235.41120000,11058
1652824800000,2022-05-17 22:00:00,NEAR/USDT,6.56200000,6.66900000,6.50700000,6.59000000,370876.90000000,2441299.52020000,9789
1652821200000,2022-05-17 21:00:00,NEAR/USDT,6.29100000,6.59500000,6.27500000,6.56100000,537362.60000000,3441138.64450000,9424
1652817600000,2022-05-17 20:00:00,NEAR/USDT,6.36700000,6.42900000,6.28900000,6.29100000,896978.10000000,5714462.41950000,12266
1652814000000,2022-05-17 19:00:00,NEAR/USDT,6.44500000,6.57100000,6.35900000,6.37000000,962536.90000000,6229363.54630000,16767
1652810400000,2022-05-17 18:00:00,NEAR/USDT,6.59000000,6.68600000,6.32400000,6.44200000,1056020.40000000,6799475.01960000,21591
1652806800000,2022-05-17 17:00:00,NEAR/USDT,6.67700000,6.74100000,6.58200000,6.59000000,414322.50000000,2764462.93580000,7869
1652803200000,2022-05-17 16:00:00,NEAR/USDT,6.67300000,6.72200000,6.56200000,6.67600000,460550.50000000,3058665.22420000,10573
1652799600000,2022-05-17 15:00:00,NEAR/USDT,6.67400000,6.73000000,6.59900000,6.67300000,606765.70000000,4045105.37500000,13424
1652796000000,2022-05-17 14:00:00,NEAR/USDT,6.88600000,6.91700000,6.64800000,6.67800000,750793.80000000,5074496.23470000,15708
1652792400000,2022-05-17 13:00:00,NEAR/USDT,6.88500000,6.98000000,6.82200000,6.88500000,566710.40000000,3914273.00990000,12971
1652788800000,2022-05-17 12:00:00,NEAR/USDT,6.73800000,6.90500000,6.70900000,6.88600000,406692.40000000,2781522.67290000,9558
