https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume QTUM,Volume USDT,tradecount
1645574400000,2022-02-23 00:00:00,QTUM/USDT,5.997,6.696,5.719,5.757,15400340.0,94915286.2947,241539
1645488000000,2022-02-22 00:00:00,QTUM/USDT,5.732,6.038,5.516,5.997,7461725.5,43385261.1045,151747
1645401600000,2022-02-21 00:00:00,QTUM/USDT,6.220,6.515,5.700,5.732,14022055.5,86726697.7415,247992
1645315200000,2022-02-20 00:00:00,QTUM/USDT,6.752,6.862,6.025,6.217,13426497.3,84807729.1237,229663
1645228800000,2022-02-19 00:00:00,QTUM/USDT,7.218,7.550,6.597,6.754,13168532.3,93140687.9263,267670
1645142400000,2022-02-18 00:00:00,QTUM/USDT,7.009,7.491,6.935,7.219,11780227.7,85383940.2150,257451
1645056000000,2022-02-17 00:00:00,QTUM/USDT,7.865,7.932,6.907,7.008,13259761.8,98657854.3643,272637
1644969600000,2022-02-16 00:00:00,QTUM/USDT,7.538,7.977,7.355,7.866,22288390.6,169845746.7529,429158
1644883200000,2022-02-15 00:00:00,QTUM/USDT,6.525,7.650,6.485,7.542,28102614.5,206489910.0043,460008
1644796800000,2022-02-14 00:00:00,QTUM/USDT,6.508,6.659,6.293,6.524,3785060.5,24438097.9138,112740
1644710400000,2022-02-13 00:00:00,QTUM/USDT,6.753,6.882,6.383,6.506,3506541.7,23333977.6238,117405
1644624000000,2022-02-12 00:00:00,QTUM/USDT,6.562,6.914,6.309,6.751,4129283.4,27283047.7694,126699
1644537600000,2022-02-11 00:00:00,QTUM/USDT,7.101,7.320,6.435,6.560,5566887.7,38997783.7464,163921
1644451200000,2022-02-10 00:00:00,QTUM/USDT,7.200,7.666,7.063,7.101,8498310.7,62863349.8825,215958
1644364800000,2022-02-09 00:00:00,QTUM/USDT,7.073,7.289,6.882,7.200,3944657.5,28121135.0298,121234
1644278400000,2022-02-08 00:00:00,QTUM/USDT,7.454,7.553,6.702,7.072,8649693.6,60727931.5998,209680
1644192000000,2022-02-07 00:00:00,QTUM/USDT,7.120,7.562,7.015,7.454,6122488.1,45035697.9248,163520
1644105600000,2022-02-06 00:00:00,QTUM/USDT,6.887,7.131,6.728,7.119,4075295.4,28302672.9521,103100
1644019200000,2022-02-05 00:00:00,QTUM/USDT,6.849,7.305,6.695,6.887,8334511.3,58603291.9330,179377
1643932800000,2022-02-04 00:00:00,QTUM/USDT,6.095,6.892,6.046,6.846,13320184.0,87521567.5078,221461
1643846400000,2022-02-03 00:00:00,QTUM/USDT,6.040,6.113,5.847,6.096,4864732.5,29097661.6432,108485
1643760000000,2022-02-02 00:00:00,QTUM/USDT,6.166,7.037,5.976,6.038,26591195.5,173842637.3499,375575
1643673600000,2022-02-01 00:00:00,QTUM/USDT,6.059,6.237,6.032,6.168,3033480.7,18650054.8048,82760
1643587200000,2022-01-31 00:00:00,QTUM/USDT,5.958,6.081,5.659,6.061,3186684.7,18661528.5432,82806
1643500800000,2022-01-30 00:00:00,QTUM/USDT,5.964,6.174,5.823,5.962,2642123.4,15860077.7013,76868
1643414400000,2022-01-29 00:00:00,QTUM/USDT,5.813,6.078,5.798,5.965,2560833.4,15207578.1831,81667
1643328000000,2022-01-28 00:00:00,QTUM/USDT,5.622,5.839,5.513,5.815,4081810.0,23175617.9830,101467
1643241600000,2022-01-27 00:00:00,QTUM/USDT,5.582,5.738,5.363,5.623,4379647.9,24280430.8105,106307
1643155200000,2022-01-26 00:00:00,QTUM/USDT,5.538,6.055,5.433,5.585,5155196.2,29420322.4575,111370
1643068800000,2022-01-25 00:00:00,QTUM/USDT,5.455,5.594,5.305,5.538,4385180.0,23917320.6997,99940
1642982400000,2022-01-24 00:00:00,QTUM/USDT,5.805,5.809,4.940,5.457,7481876.0,39464621.2701,161883
