,symbol,date,open,date_delta,clusterLabel
665,ADA/USDT,2022-03-02,0.9633,42.0,238
666,ADA/USDT,2022-03-01,0.9617,41.0,241
667,ADA/USDT,2022-02-28,0.8561,40.0,243
668,ADA/USDT,2022-02-27,0.8866,39.0,244
669,ADA/USDT,2022-02-26,0.8981,38.0,247
670,ADA/USDT,2022-02-25,0.8523,37.0,248
671,ADA/USDT,2022-02-24,0.8657,36.0,250
672,ADA/USDT,2022-02-23,0.8871,35.0,252
673,ADA/USDT,2022-02-22,0.8563,34.0,254
674,ADA/USDT,2022-02-21,0.9308,33.0,257
675,ADA/USDT,2022-02-20,0.9958,32.0,258
676,ADA/USDT,2022-02-19,0.9949,31.0,261
677,ADA/USDT,2022-02-18,1.0193,30.0,263
678,ADA/USDT,2022-02-17,1.0826,29.0,265
679,ADA/USDT,2022-02-16,1.1074,28.0,267
680,ADA/USDT,2022-02-15,1.0488,27.0,269
681,ADA/USDT,2022-02-14,1.0415,26.0,270
682,ADA/USDT,2022-02-13,1.058,25.0,272
683,ADA/USDT,2022-02-12,1.0791,24.0,274
684,ADA/USDT,2022-02-11,1.1498,23.0,276
685,ADA/USDT,2022-02-10,1.194,22.0,278
686,ADA/USDT,2022-02-09,1.1744,21.0,280
687,ADA/USDT,2022-02-08,1.1982,20.0,282
688,ADA/USDT,2022-02-07,1.1423,19.0,285
689,ADA/USDT,2022-02-06,1.1245,18.0,286
690,ADA/USDT,2022-02-05,1.1383,17.0,288
691,ADA/USDT,2022-02-04,1.0599,16.0,290
692,ADA/USDT,2022-02-03,1.0261,15.0,293
693,ADA/USDT,2022-02-02,1.0948,14.0,295
694,ADA/USDT,2022-02-01,1.0511,13.0,296
695,ADA/USDT,2022-01-31,1.0342,12.0,298
696,ADA/USDT,2022-01-30,1.0587,11.0,300
697,ADA/USDT,2022-01-29,1.0479,10.0,303
698,ADA/USDT,2022-01-28,1.0414,9.0,305
699,ADA/USDT,2022-01-27,1.0767,8.0,306
700,ADA/USDT,2022-01-26,1.0414,7.0,308
701,ADA/USDT,2022-01-25,1.0653,6.0,310
702,ADA/USDT,2022-01-24,1.1238,5.0,313
703,ADA/USDT,2022-01-23,1.0706,4.0,314
704,ADA/USDT,2022-01-22,1.1199,3.0,317
705,ADA/USDT,2022-01-21,1.2575,2.0,318
706,ADA/USDT,2022-01-20,1.3353,1.0,321
707,ADA/USDT,2022-01-19,1.4578,0.0,322
1427,ALGO/USDT,2022-05-22,0.435,123.0,97
1428,ALGO/USDT,2022-05-21,0.4332,122.0,94
1429,ALGO/USDT,2022-05-20,0.4515,121.0,93
1430,ALGO/USDT,2022-05-19,0.4336,120.0,91
1431,ALGO/USDT,2022-05-18,0.495,119.0,89
1432,ALGO/USDT,2022-05-17,0.4604,118.0,87
1433,ALGO/USDT,2022-05-16,0.4905,117.0,85
1434,ALGO/USDT,2022-05-15,0.4636,116.0,83
1435,ALGO/USDT,2022-05-14,0.4435,115.0,81
1436,ALGO/USDT,2022-05-13,0.4241,114.0,76
1437,ALGO/USDT,2022-05-12,0.451,113.0,79
1438,ALGO/USDT,2022-05-11,0.5848,112.0,99
1439,ALGO/USDT,2022-05-10,0.5737,111.0,101
1440,ALGO/USDT,2022-05-09,0.7294,110.0,103
1441,ALGO/USDT,2022-05-08,0.7487,109.0,105
1442,ALGO/USDT,2022-05-07,0.6973,108.0,106
1443,ALGO/USDT,2022-05-06,0.6338,107.0,109
1444,ALGO/USDT,2022-05-05,0.7159,106.0,110
1445,ALGO/USDT,2022-05-04,0.6708,105.0,112
1446,ALGO/USDT,2022-05-03,0.6159,104.0,114
1447,ALGO/USDT,2022-05-02,0.6014,103.0,117
