           symbol       date          open  date_delta  clusterLabel
1439    ALGO/USDT 2022-05-10      0.573700       111.0           101
1440    ALGO/USDT 2022-05-09      0.729400       110.0           103
1441    ALGO/USDT 2022-05-08      0.748700       109.0           105
1442    ALGO/USDT 2022-05-07      0.697300       108.0           106
1443    ALGO/USDT 2022-05-06      0.633800       107.0           109
1444    ALGO/USDT 2022-05-05      0.715900       106.0           110
1445    ALGO/USDT 2022-05-04      0.670800       105.0           112
1446    ALGO/USDT 2022-05-03      0.615900       104.0           114
1447    ALGO/USDT 2022-05-02      0.601400       103.0           117
1448    ALGO/USDT 2022-05-01      0.567200       102.0           119
1449    ALGO/USDT 2022-04-30      0.638000       101.0           121
1450    ALGO/USDT 2022-04-29      0.698400       100.0           123
1451    ALGO/USDT 2022-04-28      0.671300        99.0           124
1452    ALGO/USDT 2022-04-27      0.656000        98.0           126
1453    ALGO/USDT 2022-04-26      0.703100        97.0           129
1454    ALGO/USDT 2022-04-25      0.700900        96.0           131
1455    ALGO/USDT 2022-04-24      0.707300        95.0           132
1456    ALGO/USDT 2022-04-23      0.719100        94.0           135
1457    ALGO/USDT 2022-04-22      0.718500        93.0           137
1458    ALGO/USDT 2022-04-21      0.741500        92.0           139
1459    ALGO/USDT 2022-04-20      0.759100        91.0           141
1460    ALGO/USDT 2022-04-19      0.736500        90.0           142
1461    ALGO/USDT 2022-04-18      0.710400        89.0           145
1462    ALGO/USDT 2022-04-17      0.743300        88.0           146
1463    ALGO/USDT 2022-04-16      0.739300        87.0           148
1464    ALGO/USDT 2022-04-15      0.726700        86.0           151
1465    ALGO/USDT 2022-04-14      0.746100        85.0           152
1466    ALGO/USDT 2022-04-13      0.725800        84.0           155
1467    ALGO/USDT 2022-04-12      0.693400        83.0           156
1468    ALGO/USDT 2022-04-11      0.750300        82.0           159
1469    ALGO/USDT 2022-04-10      0.788100        81.0           160
1470    ALGO/USDT 2022-04-09      0.758800        80.0           162
1471    ALGO/USDT 2022-04-08      0.799100        79.0           165
1472    ALGO/USDT 2022-04-07      0.765800        78.0           166
1473    ALGO/USDT 2022-04-06      0.834800        77.0           168
1474    ALGO/USDT 2022-04-05      0.882400        76.0           170
1475    ALGO/USDT 2022-04-04      0.935400        75.0           172
1476    ALGO/USDT 2022-04-03      0.906600        74.0           175
1477    ALGO/USDT 2022-04-02      0.939300        73.0           176
1478    ALGO/USDT 2022-04-01      0.929300        72.0           178
1479    ALGO/USDT 2022-03-31      0.926800        71.0           180
1480    ALGO/USDT 2022-03-30      0.922800        70.0           182
1481    ALGO/USDT 2022-03-29      0.907100        69.0           184
1482    ALGO/USDT 2022-03-28      0.949200        68.0           186
1483    ALGO/USDT 2022-03-27      0.911600        67.0           188
1484    ALGO/USDT 2022-03-26      0.888700        66.0           190
1485    ALGO/USDT 2022-03-25      0.890800        65.0           193
1486    ALGO/USDT 2022-03-24      0.838800        64.0           194
1487    ALGO/USDT 2022-03-23      0.826800        63.0           196
1488    ALGO/USDT 2022-03-22      0.827700        62.0           198
1489    ALGO/USDT 2022-03-21      0.741300        61.0           201
1490    ALGO/USDT 2022-03-20      0.764800        60.0           202
1491    ALGO/USDT 2022-03-19      0.754900        59.0           205
1492    ALGO/USDT 2022-03-18      0.741900        58.0           206
1493    ALGO/USDT 2022-03-17      0.736500        57.0           208
1494    ALGO/USDT 2022-03-16      0.715800        56.0           210
1495    ALGO/USDT 2022-03-15      0.706300        55.0           213
1496    ALGO/USDT 2022-03-14      0.680800        54.0           214
1497    ALGO/USDT 2022-03-13      0.705000        53.0           217
1498    ALGO/USDT 2022-03-12      0.701600        52.0           218
1499    ALGO/USDT 2022-03-11      0.731200        51.0           221
1500    ALGO/USDT 2022-03-10      0.767100        50.0           223
1501    ALGO/USDT 2022-03-09      0.740000        49.0           225
1502    ALGO/USDT 2022-03-08      0.727900        48.0           227
1503    ALGO/USDT 2022-03-07      0.746500        47.0           228
1504    ALGO/USDT 2022-03-06      0.773600        46.0           230
1505    ALGO/USDT 2022-03-05      0.760000        45.0           232
1506    ALGO/USDT 2022-03-04      0.796500        44.0           235
1507    ALGO/USDT 2022-03-03      0.819800        43.0           237
1508    ALGO/USDT 2022-03-02      0.856400        42.0           238
1509    ALGO/USDT 2022-03-01      0.867600        41.0           241
